lat,lon,time,analysed_sst
35.625,356.375,1239796800,289.6
35.625,356.625,1239796800,289.61
35.625,356.875,1239796800,289.59
35.625,357.125,1239796800,289.55
35.625,357.375,1239796800,289.56
35.625,357.625,1239796800,289.59
35.625,357.875,1239796800,289.62
35.625,358.125,1239796800,289.69998
35.625,358.375,1239796800,289.75998
35.625,358.625,1239796800,289.78
35.625,358.875,1239796800,289.74
35.625,359.125,1239796800,289.75
35.625,359.375,1239796800,289.94998
35.625,359.625,1239796800,
35.625,359.875,1239796800,
35.875,344.875,1239796800,290.24
35.875,345.125,1239796800,290.22
35.875,345.375,1239796800,290.18
35.875,345.625,1239796800,290.13998
35.875,345.875,1239796800,290.16998
35.875,346.125,1239796800,290.21
35.875,346.375,1239796800,290.24
35.875,346.625,1239796800,290.22998
35.875,346.875,1239796800,290.19
35.875,347.125,1239796800,290.15
35.875,347.375,1239796800,290.19998
35.875,347.625,1239796800,290.27
35.875,347.875,1239796800,290.38998
35.875,348.125,1239796800,290.4
35.875,348.375,1239796800,290.35
35.875,348.625,1239796800,290.38998
35.875,348.875,1239796800,290.53998
35.875,349.125,1239796800,290.68
35.875,349.375,1239796800,290.82
35.875,349.625,1239796800,290.78998
35.875,349.875,1239796800,290.71
35.875,350.125,1239796800,290.69998
35.875,350.375,1239796800,290.71
35.875,350.625,1239796800,290.8
35.875,350.875,1239796800,290.9
35.875,351.125,1239796800,290.93
35.875,351.375,1239796800,290.86
35.875,351.625,1239796800,290.82
35.875,351.875,1239796800,290.85
35.875,352.125,1239796800,290.82
35.875,352.375,1239796800,290.77
35.875,352.625,1239796800,290.82
35.875,352.875,1239796800,290.9
35.875,353.125,1239796800,290.68
35.875,353.375,1239796800,290.5
35.875,353.625,1239796800,290.38998
35.875,353.875,1239796800,290.27
35.875,354.125,1239796800,290.11
35.875,354.375,1239796800,289.96
35.875,354.625,1239796800,289.85
35.875,354.875,1239796800,289.78998
35.875,355.125,1239796800,289.77
35.875,355.375,1239796800,289.75998
35.875,355.625,1239796800,289.72998
35.875,355.875,1239796800,289.72
35.875,356.125,1239796800,289.65
35.875,356.375,1239796800,289.57
35.875,356.625,1239796800,289.53
35.875,356.875,1239796800,289.5
35.875,357.125,1239796800,289.5
35.875,357.375,1239796800,289.50998
35.875,357.625,1239796800,289.59
35.875,357.875,1239796800,289.66
35.875,358.125,1239796800,289.72998
35.875,358.375,1239796800,289.75
35.875,358.625,1239796800,289.75998
35.875,358.875,1239796800,289.72998
35.875,359.125,1239796800,289.69
